Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD
1-Aug,Saint Paul,S8,,,R2, AG13XFA ,1259.28
7-Aug,Saint Paul,S1,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S2,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S3,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S4,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S5,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S6,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S7,,,R2-R3, AG13XFA ,1388.7
7-Aug,Saint Paul,S8,,,R2-R3, AG13XFA ,1388.7
15-Aug,Saint Paul,S1,,,R3, AG13XFA ,1532.61
15-Aug,Saint Paul,S2,,,R3, AG13XFA ,1532.61
15-Aug,Saint Paul,S3,,,R3, AG13XFA ,1532.61
15-Aug,Saint Paul,S4,,,R-R4, AG13XFA ,1532.61
15-Aug,Saint Paul,S5,,,R3, AG13XFA ,1532.61
15-Aug,Saint Paul,S6,,,R3-R4, AG13XFA ,1532.61
15-Aug,Saint Paul,S7,,,R3, AG13XFA ,1532.61
15-Aug,Saint Paul,S8,,,R3, AG13XFA ,1532.61
22-Aug,Saint Paul,S1,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S2,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S3,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S4,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S5,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S6,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S7,,,R4, AG13XFA ,1676.61
22-Aug,Saint Paul,S8,,,R4, AG13XFA ,1676.61
29-Aug,Saint Paul,S1,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S2,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S3,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S4,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S5,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S6,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S7,,,R4-R5, AG13XFA ,1850.22
29-Aug,Saint Paul,S8,,,R4-R5, AG13XFA ,1850.22
5-Sep,Saint Paul,S1,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S2,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S3,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S4,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S5,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S6,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S7,,,R5, AG13XFA ,1981.8
5-Sep,Saint Paul,S8,,,R5-R6, AG13XFA ,1981.8
12-Sep,Saint Paul,S1,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S2,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S3,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S4,,,R5-R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S5,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S6,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S7,,,R6, AG13XFA ,2110.32
12-Sep,Saint Paul,S8,,,R6, AG13XFA ,2110.32
19-Sep,Saint Paul,S1,,,R6-R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S2,,,R6-R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S3,,,R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S4,,,R6-R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S5,,,R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S6,,,R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S7,,,R7, AG13XFA ,2293.56
19-Sep,Saint Paul,S8,,,R7, AG13XFA ,2293.56
26-Sep,Saint Paul,S1,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S2,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S3,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S4,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S5,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S6,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S7,,,R8, AG13XFA ,2414.34
26-Sep,Saint Paul,S8,,,R8, AG13XFA ,2414.34
3-Oct,Saint Paul,S1,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S2,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S3,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S4,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S5,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S6,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S7,,,Harvested, AG13XFA ,2531.34
3-Oct,Saint Paul,S8,,,Harvested, AG13XFA ,2531.34
