Date ,Site,Crop ID,Irrigation ,Fertilizer ,Growth Stage,Hybrid,AGDD,Year,Date_clean,Staging
5-Jul,Becker,C2,100%,,V15,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C3,100%,,V16,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C4,100%,,V16,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C5,100%,,V16,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C6,100%,,V16,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C7,100%,,V16,NK seeds 007,1172.16,2023,,
5-Jul,Becker,C8,100%,,V16,NK seeds 007,1172.16,2023,,
12-Jul,Becker,C1,100%,,VT,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C2,100%,,VT,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C3,100%,,VT,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C4,100%,,R1,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C5,100%,,VT,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C6,100%,,R1,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C7,100%,,VT,NK seeds 007,1291.59,2023,,
12-Jul,Becker,C8,100%,,VT,NK seeds 007,1291.59,2023,,
19-Jul,Becker,C1,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C2,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C3,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C4,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C5,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C6,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C7,100%,,VT-R1,NK seeds 007,1421.37,2023,,
19-Jul,Becker,C8,100%,,VT-R1,NK seeds 007,1421.37,2023,,
25-Jul,Becker,C1,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C2,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C3,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C4,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C5,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C6,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C7,100%,,R1,NK seeds 007,1551.69,2023,,
25-Jul,Becker,C8,100%,,R1,NK seeds 007,1551.69,2023,,
1-Aug,Becker,C1,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C2,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C3,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C4,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C5,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C6,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C7,100%,,R2,NK seeds 007,1713.51,2023,,
1-Aug,Becker,C8,100%,,R2,NK seeds 007,1713.51,2023,,
9-Aug,Becker,C1,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C2,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C3,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C4,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C5,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C6,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C7,100%,,R3,NK seeds 007,1896.21,2023,,
9-Aug,Becker,C8,100%,,R3,NK seeds 007,1896.21,2023,,
16-Aug,Becker,C1,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C2,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C3,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C4,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C5,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C6,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C7,100%,,R4,NK seeds 007,2023.63,2023,,
16-Aug,Becker,C8,100%,,R4,NK seeds 007,2023.63,2023,,
22-Aug,Becker,C1,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C2,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C3,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C4,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C5,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C6,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C7,100%,,R4-R5,NK seeds 007,2145.49,2023,,
22-Aug,Becker,C8,100%,,R4-R5,NK seeds 007,2145.49,2023,,
30-Aug,Becker,C1,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C2,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C3,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C4,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C5,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C6,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C7,100%,,R4-R5,NK seeds 007,2313.09,2023,,
30-Aug,Becker,C8,100%,,R4-R5,NK seeds 007,2313.09,2023,,
8-Sep,Becker,C1,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C2,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C3,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C4,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C5,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C6,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C7,100%,,R5,NK seeds 007,2503.71,2023,,
8-Sep,Becker,C8,100%,,R5,NK seeds 007,2503.71,2023,,
15-Sep,Becker,C1,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C2,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C3,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C4,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C5,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C6,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C7,100%,,R5-R6,NK seeds 007,2585.52,2023,,
15-Sep,Becker,C8,100%,,R5-R6,NK seeds 007,2585.52,2023,,
29-Sep,Becker,C1,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C2,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C3,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C4,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C5,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C6,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C7,100%,,R6,NK seeds 007,2806.11,2023,,
29-Sep,Becker,C8,100%,,R6,NK seeds 007,2806.11,,,
2-Nov,Becker,C1,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C2,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C3,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C4,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C5,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C6,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C7,100%,,Harvested,NK seeds 007,3008.52,2023,,
2-Nov,Becker,C8,100%,,Harvested,NK seeds 007,3008.52,2023,,
