Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD,Year
14-Jun,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V3,D41SP23RIB,492.93,2024
14-Jun,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,492.93,2024
20-Jun,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
20-Jun,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V4,D41SP23RIB,607.95,2024
27-Jun,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V7,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V6,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V6,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V5,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V5,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V5,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V5,D41SP23RIB,757.08,2024
27-Jun,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V5,D41SP23RIB,757.08,2024
10-Jul,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V9,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V8,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V8,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V8,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V8,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V9,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V8,D41SP23RIB,1026,2024
10-Jul,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V9,D41SP23RIB,1026,2024
18-Jul,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V12,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V12,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V12,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V11,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V11,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V11,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V12,D41SP23RIB,1221.84,2024
18-Jul,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V12,D41SP23RIB,1221.84,2024
25-Jul,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),V14,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
25-Jul,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),V13,D41SP23RIB,1379.34,2024
1-Aug,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
1-Aug,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),VT,D41SP23RIB,1568.25,2024
7-Aug,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
7-Aug,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R1,D41SP23RIB,1697.22,2024
15-Aug,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
15-Aug,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R2,D41SP23RIB,1841.58,2024
22-Aug,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
22-Aug,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R2-R3,D41SP23RIB,1985.58,2024
29-Aug,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
29-Aug,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R3,D41SP23RIB,2159.19,2024
5-Sep,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
5-Sep,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R4,D41SP23RIB,2290.77,2024
12-Sep,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
12-Sep,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R5,D41SP23RIB,2419.29,2024
19-Sep,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
19-Sep,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),R6,D41SP23RIB,2602.53,2024
21-Oct,Saint Paul,C1,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C2,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C3,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C4,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C5,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C6,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C7,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
21-Oct,Saint Paul,C8,No irrigation,160lbs of N (Urea)  (Urea),Harvested,D41SP23RIB,3025.71,2024
