Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD
27-Jul,Saint Paul,C3,6/5 and 7/109,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C4,6/5 and 7/110,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C5,6/5 and 7/111,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C6,6/5 and 7/112,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C7,6/5 and 7/113,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
27-Jul,Saint Paul,C8,6/5 and 7/114,160lbs of N Urea (5/11/2023),R1,Dekalb (DKC 40-45),1660.5
3-Aug,Saint Paul,C1,6/5 and 7/115,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C2,6/5 and 7/116,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C3,6/5 and 7/117,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C4,6/5 and 7/118,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C5,6/5 and 7/119,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C6,6/5 and 7/120,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C7,6/5 and 7/121,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
3-Aug,Saint Paul,C8,6/5 and 7/122,160lbs of N Urea (5/11/2023),R1-R2,Dekalb (DKC 40-45),1841.04
10-Aug,Saint Paul,C1,6/5 and 7/123,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C2,6/5 and 7/124,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C3,6/5 and 7/125,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C4,6/5 and 7/126,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C5,6/5 and 7/127,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C6,6/5 and 7/128,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C7,6/5 and 7/129,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
10-Aug,Saint Paul,C8,6/5 and 7/130,160lbs of N Urea (5/11/2023),R2,Dekalb (DKC 40-45),1988.01
17-Aug,Saint Paul,C1,6/5 and 7/131,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C2,6/5 and 7/132,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C3,6/5 and 7/133,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C4,6/5 and 7/134,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C5,6/5 and 7/135,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C6,6/5 and 7/136,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C7,6/5 and 7/137,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
17-Aug,Saint Paul,C8,6/5 and 7/138,160lbs of N Urea (5/11/2023),R3,Dekalb (DKC 40-45),2156.4
24-Aug,Saint Paul,C1,6/5 and 7/139,160lbs of N Urea (5/11/2023),R3-R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C2,6/5 and 7/140,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C3,6/5 and 7/141,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C4,6/5 and 7/142,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C5,6/5 and 7/143,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C6,6/5 and 7/144,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C7,6/5 and 7/145,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
24-Aug,Saint Paul,C8,6/5 and 7/146,160lbs of N Urea (5/11/2023),R4,Dekalb (DKC 40-45),2336.22
31-Aug,Saint Paul,C1,6/5 and 7/147,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C2,6/5 and 7/148,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C3,6/5 and 7/149,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C4,6/5 and 7/150,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C5,6/5 and 7/151,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C6,6/5 and 7/152,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C7,6/5 and 7/153,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
31-Aug,Saint Paul,C8,6/5 and 7/154,160lbs of N Urea (5/11/2023),R5,Dekalb (DKC 40-45),2487.78
7-Sep,Saint Paul,C1,6/5 and 7/155,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C2,6/5 and 7/156,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C3,6/5 and 7/157,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C4,6/5 and 7/158,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C5,6/5 and 7/159,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C6,6/5 and 7/160,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C7,6/5 and 7/161,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
7-Sep,Saint Paul,C8,6/5 and 7/162,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2659.86
14-Sep,Saint Paul,C1,6/5 and 7/163,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C2,6/5 and 7/164,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C3,6/5 and 7/165,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C4,6/5 and 7/166,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C5,6/5 and 7/167,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C6,6/5 and 7/168,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C7,6/5 and 7/169,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
14-Sep,Saint Paul,C8,6/5 and 7/170,160lbs of N Urea (5/11/2023),R5-R6,Dekalb (DKC 40-45),2758.95
21-Sep,Saint Paul,C1,6/5 and 7/171,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C2,6/5 and 7/172,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C3,6/5 and 7/173,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C4,6/5 and 7/174,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C5,6/5 and 7/175,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C6,6/5 and 7/176,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C7,6/5 and 7/177,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
21-Sep,Saint Paul,C8,6/5 and 7/178,160lbs of N Urea (5/11/2023),R6,Dekalb (DKC 40-45),2881.44
8-Nov,Saint Paul,C1,6/5 and 7/179,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C2,6/5 and 7/180,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C3,6/5 and 7/181,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C4,6/5 and 7/182,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C5,6/5 and 7/183,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C6,6/5 and 7/184,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C7,6/5 and 7/185,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
8-Nov,Saint Paul,C8,6/5 and 7/186,160lbs of N Urea (5/11/2023),Harvested,Dekalb (DKC 40-45),3246.48
